city,country,apartment_1bed_city_centre,apartment_1bed_outside_centre,apartment_3bed_city_centre,apartment_3bed_outside_centre,apples_1kg,average_salary_net,banana_1kg,beef_round_1kg,bread_500g,cappuccino,cheese_1kg,chicken_breasts_1kg,cigarettes_marlboro,cinema_ticket,coke_pepsi_bottle,domestic_beer_bottle,domestic_beer_draught,eggs_12,fitness_club_monthly,gasoline_1_liter,imported_beer_bottle,internet_unlimited,jeans_levis,lettuce_head,mcmeal_mcdonalds,meal_inexpensive_restaurant,meal_mid_range_restaurant,men_leather_shoes,milk_1_liter,mobile_tariff_minute,monthly_pass_transport,mortgage_interest_rate,nike_shoes,one_way_ticket_transport,onion_1kg,oranges_1kg,potato_1kg,preschool_monthly,primary_school_yearly,rice_1kg,sqm_price_city_centre,sqm_price_outside_centre,summer_dress_chain_store,taxi_1km,taxi_start,taxi_waiting_1hour,tennis_court_hourly,tomato_1kg,toyota_corolla,utilities_basic_apartment,volkswagen_golf,water_033_bottle,water_15_bottle,wine_bottle
Lisbon,Portugal,886.21,619.04,1697.7,1131.34,1.48,913.81,1.06,9.48,1.11,1.44,7.58,5.23,5.0,7.0,1.35,1.09,2.0,1.67,34.6,1.56,1.93,32.35,79.84,0.92,6.0,8.5,35.0,90.45,0.65,0.21,40.0,2.11,76.47,1.5,1.01,1.12,0.99,421.38,7840.74,0.9,4298.53,2414.28,30.18,0.47,3.48,14.8,11.82,1.54,24381.58,99.29,25000.0,,0.63,5.0
Beijing,China,946.89,575.19,1986.46,1223.57,1.7,1137.26,1.28,7.69,1.6,3.99,15.07,3.15,2.6,6.51,0.47,0.69,1.95,1.68,42.04,0.93,1.89,12.43,61.02,0.62,4.56,3.91,26.04,89.59,1.7,0.03,24.74,5.14,69.56,0.52,0.67,1.6,0.69,625.68,20125.06,1.13,13398.23,6701.37,32.26,0.3,1.69,5.21,15.95,1.05,15336.76,55.03,18230.92,,0.56,13.02
Cape Town,South Africa,695.92,468.15,1431.46,954.95,1.49,1140.76,1.25,6.78,0.86,1.73,6.46,5.23,2.49,5.29,0.84,1.49,2.18,1.95,34.45,0.98,1.96,61.33,47.07,0.95,3.74,8.91,35.81,73.81,0.91,0.1,26.47,10.64,83.98,0.93,0.93,1.33,1.03,186.87,3441.21,1.45,2378.77,1184.1,30.1,0.62,1.25,3.11,7.39,1.15,17607.3,62.35,18683.75,,1.02,4.36
Tirana,Albania,296.37,175.58,578.83,326.01,0.89,336.43,1.32,6.89,0.61,1.2,5.45,4.18,2.63,4.92,1.07,0.77,1.27,1.47,29.49,1.46,1.14,19.18,40.27,0.78,4.76,4.1,24.62,85.26,1.07,0.21,13.13,5.19,71.81,0.33,0.66,1.06,0.66,127.15,2323.77,1.09,1650.37,726.22,31.76,2.0,2.05,12.31,10.28,0.9,17174.1,68.27,16413.03,,0.44,6.57
Porto,Portugal,682.5,507.14,1281.43,862.5,1.71,801.61,1.2,9.41,1.25,1.61,6.3,5.38,5.0,6.95,1.34,0.99,2.0,1.79,32.22,1.53,2.13,31.12,84.43,0.95,6.0,7.0,30.0,74.45,0.67,0.15,31.0,2.59,68.5,1.27,1.23,1.34,0.99,324.0,5992.86,0.86,2653.79,1571.46,29.37,0.48,3.5,14.8,11.86,1.36,24087.5,101.15,25900.0,,0.56,4.0
Durban,South Africa,302.38,325.53,583.09,639.56,1.25,933.21,0.98,5.72,0.79,1.58,5.84,3.94,2.49,5.29,0.79,0.96,1.62,1.52,27.15,0.97,1.47,58.2,43.79,0.85,3.74,7.47,25.53,82.04,0.87,0.12,23.35,10.64,75.01,0.93,0.82,1.25,0.78,159.71,3425.69,1.11,618.83,694.26,28.21,0.75,1.17,4.36,9.31,0.92,17400.43,76.88,17242.92,,1.05,3.27
Budapest,Hungary,480.55,356.04,920.02,635.08,1.03,755.32,1.28,7.62,0.69,1.41,5.67,4.37,4.04,5.39,1.01,0.78,1.5,1.49,37.85,1.19,1.08,13.06,58.08,0.94,4.79,5.99,29.96,78.72,0.7,0.08,28.46,4.82,68.09,1.05,0.89,1.16,0.83,273.3,6677.13,1.02,2913.16,1908.92,27.52,0.9,2.1,13.48,12.39,1.78,18153.92,147.94,17376.41,,0.34,4.04
Vilnius,Lithuania,488.14,329.77,840.0,523.64,0.84,912.37,1.0,6.47,0.97,2.1,6.82,4.52,3.95,7.0,1.5,1.08,3.0,1.53,27.61,1.2,1.39,11.03,50.87,1.0,5.0,7.0,35.0,96.96,0.86,0.08,29.0,2.39,72.82,1.0,0.48,1.14,0.41,345.0,7031.25,1.41,2745.14,1679.63,35.79,0.6,1.0,8.0,18.39,1.36,17570.0,115.86,17500.0,,0.66,6.5
Johannesburg,South Africa,421.71,369.1,854.92,706.5,1.38,1089.06,1.13,6.0,0.85,1.67,6.45,4.59,2.82,5.65,0.9,1.2,1.73,1.91,33.16,1.01,1.73,59.93,48.59,0.96,3.45,8.47,31.37,72.78,1.0,0.11,50.2,10.41,72.83,1.88,1.03,1.45,1.03,217.14,4754.58,1.25,900.68,641.14,29.92,0.72,1.25,6.27,9.67,1.3,18124.04,83.28,18824.0,,1.01,4.39
Barcelona,Spain,950.28,725.42,1502.94,1088.73,1.73,1444.48,1.53,10.26,0.99,1.79,10.88,6.46,5.0,8.5,1.63,0.83,2.5,1.56,41.14,1.33,1.44,42.57,72.91,0.94,7.0,11.0,40.0,92.5,0.86,0.13,50.0,2.39,79.48,2.15,1.24,1.34,0.99,438.89,7885.0,1.02,4342.92,3044.23,25.34,1.15,2.5,22.1,18.46,1.51,20971.43,136.65,22000.0,,0.61,6.0
"San Diego, CA",United States,1816.1,1479.24,3254.51,2492.91,3.31,4293.13,1.6,10.74,3.27,3.83,10.03,8.4,7.19,12.58,1.74,1.76,5.39,3.2,32.62,0.92,2.14,56.97,43.37,1.19,6.74,13.48,53.91,101.32,0.88,0.17,64.69,4.11,69.96,2.25,2.06,2.21,2.27,967.85,16232.63,3.96,5352.13,3605.03,32.83,1.67,2.52,22.46,13.48,3.36,18876.87,123.99,20665.15,,1.63,10.78
"San Francisco, CA",United States,3131.06,2527.11,5661.53,4320.95,4.38,6532.21,1.79,14.53,3.12,4.06,15.47,12.11,10.78,13.48,2.26,2.04,6.29,2.82,77.08,0.95,1.98,60.0,55.68,1.17,8.98,15.95,71.88,134.75,0.98,0.09,72.78,4.18,77.2,2.47,2.47,3.11,3.49,1959.36,25657.74,4.15,11670.67,8658.93,38.39,1.95,3.14,29.65,16.81,4.33,20177.73,127.73,19802.61,,1.74,13.48
Lima,Peru,435.67,279.01,847.79,560.23,1.62,439.49,1.16,7.21,1.44,2.14,6.94,4.3,3.66,5.43,0.69,1.5,1.9,1.73,48.84,1.04,2.8,34.82,42.44,0.72,4.21,3.26,21.71,69.89,1.26,0.17,23.2,8.95,68.69,0.41,0.96,0.98,0.94,222.68,5049.27,0.96,1589.12,1179.83,30.68,1.36,1.97,5.43,11.07,1.15,16586.24,63.97,15479.65,,0.9,9.5
"Seattle, WA",United States,1919.17,1450.04,3199.48,2321.44,4.69,4741.65,1.67,13.11,2.76,3.81,14.42,11.23,9.66,13.48,1.97,1.83,5.39,2.4,48.94,0.84,2.19,58.46,42.55,1.73,7.19,13.48,62.89,111.44,0.77,0.09,88.95,4.14,75.86,2.47,2.32,3.38,2.3,1568.61,19730.73,4.1,6588.64,4065.0,35.25,1.51,2.34,26.95,26.51,4.28,20472.62,144.15,22462.12,,1.68,13.48
Brasov,Romania,304.39,228.7,468.59,359.43,0.68,554.56,1.07,6.97,0.57,1.41,5.78,3.97,3.71,6.27,1.07,0.59,1.25,1.87,29.81,1.2,1.01,7.53,46.69,0.5,4.18,6.27,20.91,63.31,0.91,0.02,17.77,4.7,56.44,0.52,0.54,1.0,0.48,225.24,4127.26,1.07,1277.19,979.61,32.2,0.43,0.42,4.18,9.2,1.05,17335.45,100.39,15960.0,,0.47,4.18
Bucharest,Romania,401.41,268.02,670.59,441.78,0.9,658.66,1.2,6.88,0.58,1.87,5.25,4.48,3.98,6.28,1.39,0.72,1.78,2.07,35.84,1.2,1.23,8.47,59.55,0.6,4.19,6.28,27.21,73.59,1.02,0.07,10.47,6.32,64.38,0.27,0.71,1.06,0.68,321.02,6232.03,1.09,1786.57,1087.44,30.88,0.42,0.42,3.98,13.26,1.23,18299.48,89.13,16534.62,,0.51,4.6
Tashkent,Uzbekistan,209.86,124.02,449.24,239.9,0.93,205.98,1.79,4.76,0.15,1.11,3.73,2.35,1.17,3.59,0.54,0.51,0.9,0.92,24.77,0.46,1.46,35.48,35.25,0.21,2.7,3.59,15.72,61.57,0.64,0.02,13.48,18.36,68.86,0.13,0.25,2.22,0.38,125.64,3996.17,0.82,802.53,390.61,32.67,0.18,0.54,2.31,5.75,0.63,19227.58,31.53,17071.22,,0.28,2.7
Ahmedabad,India,199.17,149.35,366.69,267.89,1.48,303.54,0.48,5.7,0.45,1.4,5.83,3.39,3.16,3.16,0.39,1.59,1.9,0.83,18.18,0.91,2.99,7.34,25.76,0.49,3.16,1.9,8.86,29.11,0.64,0.01,5.06,9.75,42.83,0.25,0.33,0.77,0.28,51.34,1218.73,0.74,780.22,397.97,31.09,0.19,0.63,0.89,7.92,0.41,20809.53,47.94,10757.68,,0.35,7.59
Cluj-Napoca,Romania,387.79,284.75,698.74,497.97,0.72,642.86,1.05,6.32,0.64,1.6,5.55,4.22,3.87,5.23,1.14,0.73,1.57,2.01,26.21,1.21,1.27,7.34,49.15,0.57,4.18,5.23,23.0,69.49,0.98,0.07,14.64,5.4,63.06,0.52,0.53,0.97,0.5,262.05,4327.18,0.89,1900.75,1409.13,29.63,0.48,0.52,4.75,11.89,1.16,16513.42,91.85,15681.1,,0.54,4.18
